,record_name,ref_code,ref_name,ref_unit
1443,EI60 с клеевым огнезащитным составом Kleber 5 мм PRO-МБОР-VENT-5 BOS,20.59.59.900.14.2.02.06-0001-000,Материал базальтовый огнезащитный рулонный,м2
1444,"Полотно противопожарное 1,5x2м (ПП-300)",23.99.12.110.14.2.02.10-0015-000,"Материал защитный противопожарный на основе негорючей стеклянной ткани для устройства противопожарных рассечек на кровле, внутренняя сторона пропитана для обеспечения привариваемости к ПВХ мембранам, внешняя сторона пропитана силиконом, ширина полотна 1000 мм, поверхностная плотность 500 г/м2, разрывная нагрузка по основе не менее 1000 Н, цвет покрытия серый, группа горючести НГ, группа воспламеняемости В2, группа распространения пламени РП1",м2
1445,"Полотно противопожарное 1,5x2м (ПП-300)",23.99.12.110.14.2.02.10-0015-000,"Материал защитный противопожарный на основе негорючей стеклянной ткани для устройства противопожарных рассечек на кровле, внутренняя сторона пропитана для обеспечения привариваемости к ПВХ мембранам, внешняя сторона пропитана силиконом, ширина полотна 1000 мм, поверхностная плотность 500 г/м2, разрывная нагрузка по основе не менее 1000 Н, цвет покрытия серый, группа горючести НГ, группа воспламеняемости В2, группа распространения пламени РП1",м2
1446,"Полотно противопожорнок PP-300  (1,5*2мт)",23.99.12.110.14.2.02.10-0015-000,"Материал защитный противопожарный на основе негорючей стеклянной ткани для устройства противопожарных рассечек на кровле, внутренняя сторона пропитана для обеспечения привариваемости к ПВХ мембранам, внешняя сторона пропитана силиконом, ширина полотна 1000 мм, поверхностная плотность 500 г/м2, разрывная нагрузка по основе не менее 1000 Н, цвет покрытия серый, группа горючести НГ, группа воспламеняемости В2, группа распространения пламени РП1",м2
1447,Огнезащитная паста Огракс ВВ,20.59.59.900.14.2.02.07-0001-000,Материал огнезащитный терморасширяющийся для покрытия электрических кабелей,кг
1448,EI60 с клеевым огнезащитным составом Kleber 5 мм PRO-МБОР-VENT-5 BOS,20.59.59.900.14.2.02.07-0001-000,Материал огнезащитный терморасширяющийся для покрытия электрических кабелей,кг
1449,Ламельные маты кашированные неармированной фольгой б 50 мм BOS-VENT-50-1НФ-1НС,20.59.59.900.14.2.02.07-0001-000,Материал огнезащитный терморасширяющийся для покрытия электрических кабелей,кг
1450,техноэласт эпп,23.99.12.110.12.1.02.05-0134-000,"Материал рулонный битумно-полимерный кровельный и гидроизоляционный для нижних слоев кровли, наплавляемый, основа стеклохолст, гибкость не выше -20 °C, прочность не менее 300 Н, теплостойкость не менее 95 °C",м2
1451,Технониколь Техноэласт ЭПП - 4 мм (или аналог),23.99.12.110.12.1.02.03-0011-000,"Материал рулонный битумно-полимерный кровельный и гидроизоляционный для нижних слоев, верхнего слоя кровли с защитным слоем и гидроизоляции, наплавляемый, основа полиэстер, гибкость не выше -20 °C, прочность не менее 343 Н, теплостойкость не менее 90 °C",м2
1452,техноэласт эпп,23.99.12.110.12.1.02.05-0053-000,"Материал рулонный битумно-полимерный кровельный и гидроизоляционный, наплавляемый, основа стеклохолст, гибкость не выше -15 °C, прочность не менее 360 Н, теплостойкость не менее 120 °C",м2
1453,техноэласт ЭПП (или аналог) – 4 мм,23.99.12.110.12.1.02.05-0053-000,"Материал рулонный битумно-полимерный кровельный и гидроизоляционный, наплавляемый, основа стеклохолст, гибкость не выше -15 °C, прочность не менее 360 Н, теплостойкость не менее 120 °C",м2
1454,Мастика герметизирующая ТЕХНОНИКОЛЬ №71 (310 мл),23.99.12.110.12.1.02.08-0092-000,"Материал рулонный битумный кровельный и гидроизоляционный для верхнего слоя кровли, наплавляемый, основа стеклоткань, верхнее покрытие сланец/гранулят, нижнее покрытие пленкой, гибкость не выше -30 °C, прочность 900-1000 Н, теплостойкость не менее 110 °C",м2
1455,Битумно-полимерный герметик ТехноНИКОЛЬ№ 42 (ТУ 5772-009-72746455-2007),23.99.12.110.12.1.02.08-0092-000,"Материал рулонный битумный кровельный и гидроизоляционный для верхнего слоя кровли, наплавляемый, основа стеклоткань, верхнее покрытие сланец/гранулят, нижнее покрытие пленкой, гибкость не выше -30 °C, прочность 900-1000 Н, теплостойкость не менее 110 °C",м2
1456,Гидроизоляция Техноэласт ЭПП,23.99.12.110.12.1.02.08-0092-000,"Материал рулонный битумный кровельный и гидроизоляционный для верхнего слоя кровли, наплавляемый, основа стеклоткань, верхнее покрытие сланец/гранулят, нижнее покрытие пленкой, гибкость не выше -30 °C, прочность 900-1000 Н, теплостойкость не менее 110 °C",м2
1457,Гидроизоляция Техноэласт ЭПП,23.99.12.110.12.1.02.08-0092-000,"Материал рулонный битумный кровельный и гидроизоляционный для верхнего слоя кровли, наплавляемый, основа стеклоткань, верхнее покрытие сланец/гранулят, нижнее покрытие пленкой, гибкость не выше -30 °C, прочность 900-1000 Н, теплостойкость не менее 110 °C",м2
1458,Обмазочная мастика Технониколь №24,23.99.12.110.12.1.02.08-0071-000,"Материал рулонный битумный кровельный и гидроизоляционный, наплавляемый, основа стеклоткань, с защитным слоем из пленки с обеих сторон, гибкость не выше -3 °C, прочность не менее 800 Н, теплостойкость не менее 85 °C",м2
1459,"Пленка полиэтиленовая гидроизоляционная ТИП-200 черная,6x25м (150м2) ARMAT",23.99.12.110.12.1.02.08-0071-000,"Материал рулонный битумный кровельный и гидроизоляционный, наплавляемый, основа стеклоткань, с защитным слоем из пленки с обеих сторон, гибкость не выше -3 °C, прочность не менее 800 Н, теплостойкость не менее 85 °C",м2
1460,Ламельные маты кашированные неармированной фольгой б 50 мм BOS-VENT-50-1НФ-1НС или аналог,23.99.19.111.12.2.04.01-0001-000,"Маты из минеральной ваты, кашированные фольгой, плотность 43 кг/м3, теплопроводность не более 0,12 Вт/(м*К), сжимаемость не более 45 %, упругость не менее 95 %, предельная температура изолируемой поверхности от -180 до +570 °C, толщина 50 мм",м3
1461,Защитная мембрана Planter Standard,22.21.42.120.12.1.02.10-0146-000,"Мембрана защитная профилированная из полиэтилена высокой плотности (ПНД), толщина полотна 0,55 мм, высота выступов 8,5 мм, предел прочности на сжатие 280 кН/м2, масса 550 г/м2",м2
1462,"Стержень заземления omex, длина 1,5 м, диаметр 20 мм, оцинкованный 219 20 OMEX FT",13.96.16.190.20.1.02.16-0001-000,"Молниеприемник для круглых и плоских проводников, алюминиевый, грибовидной формы, с установленным крестовым соединением, с шестигранными болтами М8х25 из стали, оцинкованной методом горячего погружения",шт
1463,Наконечник под опресcовку алюминиевый ТА150-12-17 (КВТ) | 41428 | КВТ,27.33.13.130.20.2.09.08-1145-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 35-50 мм2",шт
1464,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий предназначена для оконцевания 4 жильного кабеля с пластмассовой (из ПВХ или сшитого полиэтилена) изоляцией на напряжение 1кВ сечением 4х25мм² 4ПКВНтпБ-В-10/25 ЗАО """"ПЗЭМИ"""" или аналог",27.33.13.130.20.2.09.08-1145-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 35-50 мм2",шт
1465,Муфта кабельная концевая с наконечниками 4ПКТп-1-150/240,27.33.13.130.20.2.09.08-1145-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 35-50 мм2",шт
1466,Муфта компрессионная ПЭ Дн 20 Ру16,27.33.13.130.20.2.09.08-1145-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 35-50 мм2",шт
1467,Муфта компрессионная ПЭ Дн 32,27.33.13.130.20.2.09.08-1145-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 35-50 мм2",шт
1468,Муфта компрессионная ПЭ Дн 50 Ру16,27.33.13.130.20.2.09.08-1145-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 35-50 мм2",шт
1469,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного бронированного кабеля с пластмасовой изоляцией на напряжение 1 кВ сечением 4х150, 185, 240 мм² 4КВНтпБ-в-150/240 Завод КВТ",27.33.13.130.20.2.09.08-1149-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 70-120 мм2",шт
1470,Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного бронированного кабеля с пластмасовой изоляцией на напряжение 1 кВ сечением 4х35мм² 4КВНтпБ-в-35/50 Завод КВТ,27.33.13.130.20.2.09.08-1149-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 70-120 мм2",шт
1471,Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного бронированного кабеля с пластмасовой изоляцией на напряжение 1 кВ сечением 4х120мм² 4КВНтпБ-в-70/120 Завод КВТ,27.33.13.130.20.2.09.08-1149-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 70-120 мм2",шт
1472,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий предназначена для оконцевания 4 жильного кабеля с пластмассовой (из ПВХ или сшитого полиэтилена) изоляцией на напряжение 1кВ сечением 4х25мм² 4ПКВНтпБ-В-10/25 ЗАО """"ПЗЭМИ"""" или аналог",27.33.13.130.20.2.09.08-1149-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 70-120 мм2",шт
1473,Муфта концевая термоусаживаемая для бронированных кабелей с пластмассовой изоляцией 1 кВ (наружной установки) 4ПКВНтпБ-В-10/25,27.33.13.130.20.2.09.08-1149-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 70-120 мм2",шт
1474,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 5 жильного бронированного кабеля с изоляцией из ПВХ пластиката напряжение 1 кВ сечением 5х16, мм² 5КВНтпБ-в-10/25",27.33.13.130.20.2.09.08-1149-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 70-120 мм2",шт
1475,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного кабеля с пластмасовой (из ПВХ или сшитого полиэтилена) изоляцией на напряжение 1 кВ сечением 4х95, 120 мм² 4КВНтпБ-в-70/120",27.33.13.130.20.2.09.08-1149-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 70-120 мм2",шт
1476,Муфта кабельная концевая универс. 1кВ 1ПКВ(Н)ТпбН-4х(70-120) с болтовыми наконечниками Нева-Транс Комплект 22020147,27.33.13.130.20.2.09.08-1149-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 70-120 мм2",шт
1477,"Соединительная муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного кабеля с пластмассовой (из ПВХ или сшитого полиэтилена) изоляцией на напряжение 1кВ сечением 4х95, 120 мм² 4ПСтБ-в-70/120",27.33.13.130.20.2.09.08-1149-000,"Муфта кабельная концевая с болтовыми наконечниками, термоусаживаемая внутренней установки на напряжение до 10 кВ для одножильных экранированных кабелей с изоляцией из сшитого полиэтилена, сечением жил 70-120 мм2",шт
1478,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий предназначена для оконцевания 4 жильного кабеля с пластмассовой (из ПВХ или сшитого полиэтилена) изоляцией на напряжение 1кВ сечением 4х25мм² 4ПКВНтпБ-В-10/25 ЗАО """"ПЗЭМИ"""" или аналог",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1479,Муфта кабельная концевая внутр. установки 10кВ 3КВТП-10-70/120 с наконечниками 3КВТП-10-70/120,27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1480,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного кабеля с пластмасовой (из ПВХ или сшитого полиэтилена) изоляцией на напряжение 1 кВ сечением 4х95, 120 мм² 4КВНтпБ-в-70/120",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1481,Муфта кабельная концевая внутр. установки 10кВ 3КВТП-10-70/120 с наконечниками 3КВТП-10-70/120,27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1482,"Концевая кабельная муфта для 4-х жильных кабелей сечением 2.5-10 мм² с пластмассовой изоляцией до 400 В 4ПКТп(б) мини - 2,5/10",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1483,"Концевая мини-муфта внутренней установки без болтовых наконечников на основе термоусаживаемых изделий для оконцевания 3 жильного кабеля с изоляцией из ПВХ пластиката на напряжение 0,66кВ сечением 3х6 мм² 3ПКТп(б)мини-2,5/10",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1484,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного бронированного кабеля с пластмасовой изоляцией на напряжение 1 кВ сечением 4х150, 185, 240 мм² 4КВНтпБ-в-150/240 Завод КВТ",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1485,Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного бронированного кабеля с пластмасовой изоляцией на напряжение 1 кВ сечением 4х35мм² 4КВНтпБ-в-35/50 Завод КВТ,27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1486,Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного бронированного кабеля с пластмасовой изоляцией на напряжение 1 кВ сечением 4х120мм² 4КВНтпБ-в-70/120 Завод КВТ,27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1487,Муфта кабельная концевая с наконечниками 4ПКТп-1-150/240,27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1488,Муфта кабельная концевая с наконечниками 4ПКТп-1-150/240,27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1489,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 5 жильного бронированного кабеля с изоляцией из ПВХ пластиката напряжение 1 кВ сечением 5х16, мм² 5КВНтпБ-в-10/25",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1490,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 5 жильного бронированного кабеля с изоляцией из ПВХ напряжение 1 кВ сечением 5х35, мм² 5КВНтпБ-в-35/50",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1491,Муфта кабельная концевая внутр. установки 10кВ 3КВТП-10-70/120 с наконечниками 3КВТП-10-70/120,27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1492,"Концевая кабельная муфта для 3-х жильных кабелей сечением 2.5-10 мм² с пластмассовой изоляцией до 400 В 3ПКТп(б) мини - 2,5/10",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1493,"Концевая кабельная муфта для 5-ти жильных кабелей сечением 2.5-10 мм² с пластмассовой изоляцией до 400 В 5ПКТп(б) мини - 2,5/10",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1494,"Концевая кабельная муфта для 4-х жильных кабелей сечением 2.5-10 мм² с пластмассовой изоляцией до 400 В 4ПКТп(б) мини - 2,5/10",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1495,"Концевая кабельная муфта для 5-ти жильных кабелей сечением 2.5-10 мм² с пластмассовой изоляцией до 400 В 5ПКТп(б) мини - 2,5/10",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1496,Муфта концевая термоусаживаемая для бронированных кабелей с пластмассовой изоляцией 1 кВ (наружной установки) 4ПКВНтпБ-В-10/25,27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1497,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий предназначена для оконцевания 4 жильного кабеля с пластмассовой (из ПВХ или сшитого полиэтилена) изоляцией на напряжение 1кВ сечением 4х25мм² 4ПКВНтпБ-В-10/25 ЗАО """"ПЗЭМИ"""" или аналог",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1498,"Муфта соединительная 1кВ """"КАМА"""" 4ПСТБ-1-150/240 (с соединителями)",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1499,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий предназначена для оконцевания 4 жильного кабеля с пластмассовой (из ПВХ или сшитого полиэтилена) изоляцией на напряжение 1кВ сечением 4х25мм² 4ПКВНтпБ-В-10/25 ЗАО """"ПЗЭМИ"""" или аналог",27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1500,25&gt;20 Муфта полипропиленовая  переходная наружная/внутренняя (PP-R),27.33.13.130.20.2.09.08-0001-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 25 мм2",шт
1501,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 5 жильного бронированного кабеля с изоляцией из ПВХ напряжение 1 кВ сечением 5х35, мм² 5КВНтпБ-в-35/50",27.33.13.130.20.2.09.08-0003-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 50 мм2",шт
1502,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного кабеля с пластмасовой (из ПВХ или сшитого полиэтилена) изоляцией на напряжение 1 кВ сечением 4х95, 120 мм² 4КВНтпБ-в-70/120",27.33.13.130.20.2.09.08-0004-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 70 мм2",шт
1503,"Концевая муфта наружной и внутренней установки на основе термоусаживаемых изделий для оконцевания 4 жильного кабеля с пластмасовой (из ПВХ или сшитого полиэтилена) изоляцией на напряжение 1 кВ сечением 4х95, 120 мм² 4КВНтпБ-в-70/120",27.33.13.130.20.2.09.08-0004-000,"Муфта кабельная концевая термоусаживаемая внутренней установки на напряжение до 1 кВ для 3-х жильных кабелей, с бумажной и пластмассовой изоляцией, в металлической оболочке, броне, сечение жил 70 мм2",шт
1504,Муфта оптическая городская укороченная МОГ-У-23-1К4845 ССД 130101-00050 ЗАО «Связьстройдеталь»,27.33.14.000.20.2.09.07-0003-000,Муфта компрессионная разветвительная МВССК 100-ССД на 100 пар,шт
1505,"Муфта-кросс FB36, 8SC, IP67",27.33.14.000.20.2.09.07-0003-000,Муфта компрессионная разветвительная МВССК 100-ССД на 100 пар,шт
1506,Муфта компрессионная ПЭ Дн 20 Ру16,27.33.14.000.20.2.09.07-0001-000,Муфта компрессионная разветвительная МВССК 20 на 20 пар,шт
1507,Муфта компрессионная ПЭ Дн 32,27.33.14.000.20.2.09.07-0001-000,Муфта компрессионная разветвительная МВССК 20 на 20 пар,шт
1508,Муфта компрессионная ПЭ Дн 50 Ру16,27.33.14.000.20.2.09.07-0001-000,Муфта компрессионная разветвительная МВССК 20 на 20 пар,шт
1509,Муфта компрессионная ПЭ переходная Дн 32х20,27.33.14.000.20.2.09.07-0001-000,Муфта компрессионная разветвительная МВССК 20 на 20 пар,шт
1510,Муфта компрессионная ПЭ переходная Дн 50х20,27.33.14.000.20.2.09.07-0001-000,Муфта компрессионная разветвительная МВССК 20 на 20 пар,шт
1511,Муфта компрессионная ПЭ переходная Дн 50х32,27.33.14.000.20.2.09.07-0001-000,Муфта компрессионная разветвительная МВССК 20 на 20 пар,шт
1512,Соединитель для полиэтиленовых труб Unidelta д 20 (ПЭ х ПЭ),27.33.14.000.20.2.09.07-0001-000,Муфта компрессионная разветвительная МВССК 20 на 20 пар,шт
1513,Соединитель для полиэтиленовых труб Unidelta д 20 (ПЭ х ПЭ),27.33.14.000.20.2.09.07-0001-000,Муфта компрессионная разветвительная МВССК 20 на 20 пар,шт
1514,"Обводное колено 20 (с муфтой) PPR арт.251339522 ООО ""РЕГИОН - СНАБЖЕНИЕ""",27.33.14.000.20.2.09.07-0001-000,Муфта компрессионная разветвительная МВССК 20 на 20 пар,шт
1515,Муфта компрессионная ПЭ Дн 50 Ру16,27.33.14.000.20.2.09.07-0002-000,Муфта компрессионная разветвительная МВССК 30/50 на 30/50 пар,шт
1516,Муфта компрессионная ПЭ переходная Дн 50х20,27.33.14.000.20.2.09.07-0002-000,Муфта компрессионная разветвительная МВССК 30/50 на 30/50 пар,шт
1517,Муфта компрессионная ПЭ Дн 50 Ру16,27.33.14.000.20.2.09.07-0002-000,Муфта компрессионная разветвительная МВССК 30/50 на 30/50 пар,шт
1518,Муфта компрессионная ПЭ Дн 50 Ру16,27.33.14.000.20.2.09.07-0002-000,Муфта компрессионная разветвительная МВССК 30/50 на 30/50 пар,шт
1519,Муфта концевая термоусаживаемая для бронированных кабелей с пластмассовой изоляцией 1 кВ (наружной установки) 4ПКВНтпБ-В-10/25,27.33.13.130.20.2.09.08-0028-000,"Муфта концевая термоусаживаемая типа 3КНТП 10-120, наружной установки для силовых кабелей на напряжение 6, 10 кВ, без наконечников, сечение жил 70-120 мм2",шт
1520,Муфта концевая термоусаживаемая для бронированных кабелей с пластмассовой изоляцией 1 кВ (наружной установки) 4ПКВНтпБ-В-10/25,27.33.13.130.20.2.09.08-0028-000,"Муфта концевая термоусаживаемая типа 3КНТП 10-120, наружной установки для силовых кабелей на напряжение 6, 10 кВ, без наконечников, сечение жил 70-120 мм2",шт
1521,Тройник компрессионная ПЭ переходной Дн 50х20 Ру16,25.94.11.190.08.4.04.01-0152-000,"Муфта механическая с конической резьбой для переходного соединения строительной арматуры диаметрами 22 и 20 мм, наружный диаметр 34 мм, длина 90 мм",шт
1522,Муфта компрессионная ПЭ переходная Дн 50х32,25.94.11.190.08.4.04.01-0160-000,"Муфта механическая с конической резьбой для переходного соединения строительной арматуры диаметрами 36 и 32 мм, наружный диаметр 50 мм, длина 120 мм",шт
1523,"Муфта ремонтная канализационный из полипропилена, DN110 для наружной канализации",25.94.11.190.08.4.04.01-0100-000,"Муфта механическая с конической резьбой для позиционного соединения строительной арматуры диаметром 12 мм, наружный диаметр 25 мм, длина 46 мм",шт
